germany,english
der,the
und,and
in,in
ein,a 
haben,to have
sie,you
werden,will
von,from
ich,I
sich,itself
auf,on
für,for
an,on
dass,that
zu,to
als,as
können,be able
dies,this
wie,how
ihr,her
so,so
sein,be
man,one
noch,still
nach,after
oder,or
all,Alles
aus,out
was,What
nur,only 
sagen,to say
dann,then
wenn,if
müssen,have to
um,around
ja,Yes
kein,no
über,above
da,there
mein,my
Jahr,Year
du,you
durch,through
viel,a lot of
wollen,want
machen,make
andere,other
sollen,must
schon,beautiful
immer,always
gehen,walk
groß,big
hier,here
ganz,all
zwei,two
also,so
jetzt,now
doch,yet
wieder,again
uns,us
gut,Well
bis,until
wissen,to know
einer,one
sehr,very
Mal,Times
lassen,to let
neu,New
stehen,stand
unser,our
jede,every
weil,because
Mensch,person
ihm,him
ihn,him
denn,then
Beispiel,example
erste,first
Zeit,time
lang,long
leben,Life
Frau,Woman
etwas,some
